route stop id,address id,arrival time,departure time,number of orders,weight of orders,quantity of pieces on orders
117546,249,10/03/2018 15:05,10/03/2018 15:39,2,19368,12
118304,6249,10/09/2018 11:45,10/09/2018 12:21,1,3680,18
103292,769,07/10/2018 08:43,07/10/2018 09:09,1,1604,5
156789,300,06/11/2019 11:18,06/11/2019 12:58,2,43437,28
182443,356,12/06/2019 09:57,12/06/2019 10:11,2,5519,40
120021,720,10/19/2018 09:43,10/19/2018 10:00,1,242,20
179874,41779,11/19/2019 09:20,11/19/2019 10:06,1,2623,6
165445,132,08/14/2019 10:55,08/14/2019 11:52,1,1401,2
101703,207,06/28/2018 12:31,06/28/2018 13:00,1,48364,104
116261,210,09/28/2018 12:15,09/28/2018 13:20,1,21600,28
134067,148,01/31/2019 13:31,01/31/2019 13:51,1,26875,43
106841,103,08/02/2018 10:18,08/02/2018 11:40,1,17010,21
33653,25,12/27/2017 10:19,12/27/2017 10:52,1,8870,66
159760,2503,07/03/2019 07:28,07/03/2019 07:46,1,2328,11
111754,74,08/31/2018 06:12,08/31/2018 06:42,1,1004,8
167643,505,09/03/2019 07:04,09/03/2019 07:40,1,2748,2
101312,373,06/21/2018 15:00,06/21/2018 16:24,1,4400,2
178238,4214,11/07/2019 09:27,11/07/2019 09:38,1,900,1
119974,4,10/18/2018 13:14,10/18/2018 14:41,5,47417,52
153572,1192,05/17/2019 13:58,05/17/2019 14:41,2,27602,61
113660,33195,09/11/2018 11:47,09/11/2018 12:37,1,480,6
101794,259,06/26/2018 07:18,06/26/2018 07:44,1,40587,34
7913,465,07/28/2016 13:24,07/28/2016 15:21,3,14856,109
16448,408,01/19/2017 11:50,01/19/2017 12:50,1,4599,30
126569,4936,12/03/2018 08:38,12/03/2018 11:24,1,34029,30
91939,25,04/23/2018 12:02,04/23/2018 13:59,1,33028,68
150798,270,04/30/2019 12:46,04/30/2019 14:03,5,42710,48
1351,215,03/16/2016 10:09,03/16/2016 13:50,1,508,1
38236,373,03/19/2018 09:30,03/19/2018 10:27,2,4224,8
183840,5555,12/16/2019 10:16,12/16/2019 10:33,1,756,7
116427,542,10/01/2018 14:00,10/01/2018 14:16,1,7735,30
115340,194,09/21/2018 11:45,09/21/2018 12:26,3,6294,28
154925,38338,05/29/2019 09:46,05/29/2019 10:26,1,20392,672
148831,5057,04/16/2019 08:38,04/16/2019 09:02,2,5960,3
178441,132,11/08/2019 09:28,11/08/2019 10:20,2,1550,7
182660,382,12/09/2019 08:33,12/09/2019 08:50,2,4895,63
122764,5496,11/06/2018 10:22,11/06/2018 11:05,1,653,1
151091,132,05/01/2019 13:15,05/01/2019 13:46,1,1440,4
155983,264,06/05/2019 11:09,06/05/2019 11:26,3,6334,34
113018,28405,09/06/2018 08:02,09/06/2018 08:22,1,11280,2
176554,15,10/28/2019 08:11,10/28/2019 09:32,2,4380,7
143407,244,03/20/2019 07:49,03/20/2019 08:12,1,4395,56
154490,30762,05/29/2019 09:33,05/29/2019 11:10,1,39360,120
121321,34033,10/26/2018 12:18,10/26/2018 13:34,1,2755,3
108243,5085,08/13/2018 07:45,08/13/2018 10:44,1,533,4
129353,407,01/08/2019 12:20,01/08/2019 13:14,1,6372,6
143908,51,03/21/2019 09:20,03/21/2019 10:44,1,8765,92
151639,549,05/06/2019 12:26,05/06/2019 12:56,1,48282,341
108664,151,08/14/2018 07:52,08/14/2018 08:40,1,3400,8
94895,4581,05/11/2018 15:12,05/11/2018 15:30,1,2790,1
98032,1063,06/01/2018 14:47,06/01/2018 15:29,1,2191,16
155557,39720,06/04/2019 12:10,06/04/2019 12:57,1,14154,46
119932,902,10/22/2018 12:25,10/22/2018 13:12,1,29096,23
177501,38138,11/04/2019 08:19,11/04/2019 13:22,1,2781,3
109521,734,08/20/2018 09:43,08/20/2018 11:06,4,23524,36
138620,701,02/25/2019 12:21,02/25/2019 13:28,2,920,6
9407,5734,08/26/2016 11:11,08/26/2016 13:59,1,2144,23
172445,5530,10/03/2019 07:24,10/03/2019 08:22,1,153,2
183373,1214,12/12/2019 10:19,12/12/2019 10:39,1,3674,8
7581,81,07/21/2016 12:25,07/21/2016 15:08,1,13703,30
38255,132,03/19/2018 13:44,03/19/2018 15:30,4,45132,50
102231,28502,06/29/2018 11:47,06/29/2018 12:34,2,12363,41
114336,371,09/17/2018 09:41,09/17/2018 10:04,2,8192,19
107297,179,08/07/2018 12:29,08/07/2018 13:02,1,1557,2
128596,1398,12/19/2018 13:18,12/19/2018 13:57,5,46986,92
37520,5629,03/07/2018 11:37,03/07/2018 12:57,2,3208,71
8368,382,08/05/2016 08:03,08/05/2016 09:14,2,7188,54
148570,36933,04/15/2019 11:06,04/15/2019 11:28,2,823,111
171394,439,09/26/2019 10:57,09/26/2019 11:15,1,934,1
174671,121,10/15/2019 07:53,10/15/2019 08:19,2,930,3
154505,1366,05/28/2019 07:05,05/28/2019 07:18,1,27,6
95085,5439,05/14/2018 10:33,05/14/2018 10:55,4,194,7
4374,259,05/17/2016 12:11,05/17/2016 16:26,1,10061,19
36165,256,02/12/2018 08:20,02/12/2018 08:33,1,4702,8
37152,97,02/28/2018 13:31,02/28/2018 13:51,1,8066,15
101421,102,07/02/2018 10:45,07/02/2018 11:30,1,5706,6
98002,61,06/01/2018 07:54,06/01/2018 09:36,1,40394,64
174362,1040,10/14/2019 11:04,10/14/2019 11:39,1,692,7
94941,30314,05/16/2018 15:11,05/16/2018 15:47,1,879,3
125915,5414,11/27/2018 08:24,11/27/2018 09:05,1,29000,189
173400,169,10/08/2019 14:12,10/08/2019 14:34,1,6542,2
98812,99,06/06/2018 10:26,06/06/2018 10:59,1,11224,1
154100,222,05/22/2019 10:38,05/22/2019 10:51,1,2775,17
23045,68,06/01/2017 09:21,06/01/2017 15:28,1,871,5
