route stop id,stop number,address id,arrival time,departure time,stop type,unplanned,arrival_driver_id,departure_driver_id,bill_of_lading_id,number of orders,weight of orders,quantity of pieces on orders
117546,2,249,10/03/2018 15:05,10/03/2018 15:39,,false,120,120,71870,2,19368,12
118304,2,6249,10/09/2018 11:45,10/09/2018 12:21,,false,103,103,72190,1,3680,18
103292,1,769,07/10/2018 08:43,07/10/2018 09:09,,false,95,95,67341,1,1604,5
156789,3,300,06/11/2019 11:18,06/11/2019 12:58,,false,112,112,85814,2,43437,28
182443,4,356,12/06/2019 09:57,12/06/2019 10:11,,false,114,114,95133,2,5519,40
120021,1,720,10/19/2018 09:43,10/19/2018 10:00,,false,108,108,72826,1,242,20
179874,1,41779,11/19/2019 09:20,11/19/2019 10:06,,false,77,77,94265,1,2623,6
165445,2,132,08/14/2019 10:55,08/14/2019 11:52,,false,131,131,89171,1,1401,2
101703,1,207,06/28/2018 12:31,06/28/2018 13:00,,false,74,74,66690,1,48364,104
116261,1,210,09/28/2018 12:15,09/28/2018 13:20,,false,90,90,71569,1,21600,28
134067,2,148,01/31/2019 13:31,01/31/2019 13:51,,false,121,121,78129,1,26875,43
106841,2,103,08/02/2018 10:18,08/02/2018 11:40,,false,77,77,68544,1,17010,21
33653,4,25,12/27/2017 10:19,12/27/2017 10:52,,false,107,107,57651,1,8870,66
159760,1,2503,07/03/2019 07:28,07/03/2019 07:46,,false,126,126,87033,1,2328,11
111754,1,74,08/31/2018 06:12,08/31/2018 06:42,,false,98,98,70127,1,1004,8
167643,6,505,09/03/2019 07:04,09/03/2019 07:40,,false,89,89,90037,1,2748,2
101312,3,373,06/21/2018 15:00,06/21/2018 16:24,,false,106,106,66549,1,4400,2
178238,2,4214,11/07/2019 09:27,11/07/2019 09:38,,false,118,118,93691,1,900,1
119974,2,4,10/18/2018 13:14,10/18/2018 14:41,,false,76,76,72772,5,47417,52
153572,1,1192,05/17/2019 13:58,05/17/2019 14:41,,false,103,103,84580,2,27602,61
113660,2,33195,09/11/2018 11:47,09/11/2018 12:37,,false,112,112,70564,1,480,6
101794,1,259,06/26/2018 07:18,06/26/2018 07:44,,false,96,96,66737,1,40587,34
7913,3,465,07/28/2016 13:24,07/28/2016 15:21,,false,,,31147,3,14856,109
16448,3,408,01/19/2017 11:50,01/19/2017 12:50,,false,,,39317,1,4599,30
126569,1,4936,12/03/2018 08:38,12/03/2018 11:24,,false,106,106,75186,1,34029,30
91939,1,25,04/23/2018 12:02,04/23/2018 13:59,,false,106,106,63490,1,33028,68
150798,3,270,04/30/2019 12:46,04/30/2019 14:03,,false,107,107,83463,5,42710,48
1351,5,215,03/16/2016 10:09,03/16/2016 13:50,,false,,,25186,1,508,1
38236,1,373,03/19/2018 09:30,03/19/2018 10:27,,false,76,76,61637,2,4224,8
183840,3,5555,12/16/2019 10:16,12/16/2019 10:33,,false,97,97,95630,1,756,7
116427,5,542,10/01/2018 14:00,10/01/2018 14:16,,false,102,102,71622,1,7735,30
