,route stop id,stop number,address id,arrival time,departure time,stop type,unplanned,arrival_driver_id,departure_driver_id,bill_of_lading_id,number of orders,weight of orders,quantity of pieces on orders
2451,163461,6,1778,08/01/2019 06:39,08/01/2019 07:12,,False,113.0,113.0,88383,1,2116,5
15733,89874,1,237,04/12/2018 13:34,04/12/2018 17:47,,False,106.0,106.0,62923,1,43051,104
7770,113512,2,72,09/10/2018 13:08,09/10/2018 14:28,,False,93.0,93.0,70512,1,475,1
15042,115325,2,869,09/21/2018 15:26,09/22/2018 02:48,,False,85.0,85.0,71191,1,10565,31
11261,89651,4,27,04/11/2018 12:08,04/11/2018 13:35,,False,112.0,112.0,62891,2,10500,20
7564,151803,5,311,05/07/2019 11:32,05/07/2019 11:54,,False,114.0,114.0,83849,1,2736,3
3608,151426,2,560,05/03/2019 10:45,05/03/2019 14:04,,False,123.0,123.0,83694,2,41180,44
2125,100172,1,165,06/14/2018 09:20,06/14/2018 10:37,,False,88.0,88.0,66141,1,19440,3
2609,176343,5,1305,10/25/2019 13:38,10/25/2019 14:21,,False,78.0,78.0,92998,3,21561,10
2374,159544,3,1778,07/01/2019 08:23,07/01/2019 09:14,,False,88.0,88.0,86923,2,6912,31
26395,163883,1,519,08/02/2019 11:16,08/02/2019 11:42,,False,76.0,76.0,88545,1,4044,5
22965,156329,2,130,06/10/2019 12:13,06/10/2019 13:15,,False,103.0,103.0,85636,2,40710,16
29227,97959,1,33054,06/04/2018 06:56,06/04/2018 07:17,,False,96.0,96.0,65518,1,990,1
26399,10299,2,91,09/14/2016 10:40,09/14/2016 11:40,,False,,,33193,1,95,18
12714,35891,3,586,02/07/2018 11:12,02/07/2018 11:59,,False,73.0,73.0,59634,1,24676,141
914,161200,2,30762,07/15/2019 14:00,07/15/2019 15:32,,False,124.0,124.0,87535,1,37824,42
10981,172473,2,70,10/02/2019 07:43,10/02/2019 08:18,,False,81.0,81.0,91723,2,1954,0
14885,123391,4,27,11/09/2018 13:17,11/09/2018 14:16,,False,93.0,93.0,74057,1,24855,11
27527,3930,1,382,05/09/2016 11:07,05/09/2016 13:10,,False,,,27556,2,29117,22
13015,122125,1,147,11/01/2018 06:43,11/01/2018 08:19,,False,86.0,86.0,73553,3,5535,27
28547,130214,1,5181,01/08/2019 13:15,01/08/2019 15:56,,False,90.0,90.0,76723,2,10638,8
25043,38327,3,270,03/21/2018 07:31,03/21/2018 08:26,,False,76.0,76.0,61782,5,22029,30
16868,95317,2,410,05/16/2018 16:08,05/16/2018 16:27,,False,82.0,82.0,64702,1,7560,2
21107,2087,2,124,03/31/2016 13:01,03/31/2016 14:34,,False,,,25814,2,33624,49
16386,175264,3,1762,10/18/2019 13:30,10/18/2019 14:11,,False,106.0,106.0,92625,1,1879,17
19155,112080,3,40,09/04/2018 13:00,09/04/2018 13:59,,False,114.0,114.0,70187,2,29323,9
20335,131074,3,6259,01/14/2019 11:56,01/14/2019 12:08,,False,114.0,114.0,76957,1,1403,44
8391,126356,2,655,11/30/2018 09:11,11/30/2018 09:34,,False,81.0,81.0,75078,1,9800,50
30422,115513,2,168,09/24/2018 12:15,09/24/2018 12:56,,False,88.0,88.0,71257,2,3099,13
